Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Credit_History,TotalIncome,EMI,Balance_Income,Rural,Semiurban,Urban
1,0,0,1,0,108.0,1.0,4258,0.3,3958.0,0,1,0
1,0,0,0,0,187.0,1.0,10130,0.5194444444444445,9610.555555555555,0,0,1
1,1,3,1,1,187.0,1.0,8250,0.5194444444444445,7730.555555555556,0,1,0
1,1,1,0,0,124.0,1.0,4126,0.34444444444444444,3781.5555555555557,0,0,1
1,1,3,1,0,120.0,1.0,4333,0.3333333333333333,3999.6666666666665,0,1,0
1,1,1,0,0,160.0,1.0,6577,0.4444444444444444,6132.555555555556,0,1,0
1,1,2,0,0,30.0,1.0,5116,0.16666666666666666,4949.333333333333,0,0,1
1,1,0,1,1,92.0,1.0,5293,0.25555555555555554,5037.444444444444,0,0,1
1,0,0,0,0,130.0,0.0,2750,0.3611111111111111,2388.8888888888887,0,0,1
0,0,0,1,0,130.0,1.0,4402,0.3611111111111111,4040.8888888888887,1,0,0
1,1,2,0,0,134.0,1.0,7152,0.7444444444444445,6407.555555555556,0,1,0
0,1,2,0,0,176.0,0.0,6443,0.4888888888888889,5954.111111111111,0,1,0
1,1,3,0,0,90.0,1.0,4720,0.5,4220.0,0,1,0
1,1,0,1,0,110.0,1.0,4136,0.3055555555555556,3830.4444444444443,0,1,0
1,1,0,0,1,125.0,1.0,7308,0.3472222222222222,6960.777777777777,0,0,1
0,0,2,0,0,189.0,1.0,4968,0.525,4443.0,0,1,0
0,0,0,0,0,108.0,0.0,3601,0.3,3301.0,1,0,0
1,1,3,1,0,125.0,1.0,4490,0.3472222222222222,4142.777777777777,0,0,1
1,1,0,0,0,138.0,1.0,6500,0.38333333333333336,6116.666666666667,0,1,0
1,1,0,1,0,135.0,0.0,4700,0.375,4325.0,0,1,0
1,1,0,0,0,130.0,0.0,3445,0.3611111111111111,3083.8888888888887,0,1,0
1,1,0,0,0,187.0,1.0,7666,0.5194444444444445,7146.555555555556,0,1,0
1,1,0,0,0,188.0,0.0,7563,0.5222222222222223,7040.777777777777,1,0,0
0,0,0,0,0,95.0,1.0,3250,0.2638888888888889,2986.1111111111113,0,1,0
1,0,0,0,0,65.0,1.0,4463,0.18055555555555555,4282.444444444444,0,1,0
1,1,1,0,0,139.0,1.0,5858,2.316666666666667,3541.333333333333,0,0,1
1,1,0,0,1,232.0,1.0,5994,0.6444444444444445,5349.555555555556,1,0,0
1,1,0,1,0,144.0,1.0,8333,0.4,7933.0,0,1,0
1,0,0,0,0,155.0,1.0,7018,0.4305555555555556,6587.444444444444,0,0,1
1,1,0,0,0,186.0,1.0,5556,0.5166666666666667,5039.333333333333,0,0,1
1,0,0,0,1,50.0,1.0,6356,0.1388888888888889,6217.111111111111,1,0,0
1,1,1,0,0,125.0,1.0,7466,0.3472222222222222,7118.777777777777,0,1,0
0,1,0,0,0,185.0,1.0,7950,0.5138888888888888,7436.111111111111,0,0,1
1,1,3,0,0,163.0,0.0,4932,0.4527777777777778,4479.222222222223,0,0,1
1,1,3,0,0,360.0,1.0,72529,1.0,71529.0,0,0,1
1,1,2,1,0,149.0,0.0,4136,0.3104166666666667,3825.5833333333335,1,0,0
1,1,0,0,0,257.0,1.0,8449,0.7138888888888889,7735.111111111111,1,0,0
1,1,0,0,0,131.0,0.0,4456,0.7277777777777777,3728.222222222222,0,1,0
1,1,2,0,0,102.0,1.0,12635,0.5666666666666667,12068.333333333334,1,0,0
1,1,0,0,0,135.0,1.0,5488,0.375,5113.0,0,0,1
1,0,0,0,0,95.0,1.0,3066,0.2638888888888889,2802.1111111111113,0,1,0
1,0,2,1,0,77.0,1.0,5250,0.21388888888888888,5036.111111111111,0,1,0
0,0,0,0,0,200.0,1.0,5058,0.5555555555555556,4502.444444444444,1,0,0
1,1,0,0,1,130.0,1.0,5474,0.3611111111111111,5112.888888888889,1,0,0
1,1,3,0,0,390.0,1.0,13518,1.0833333333333333,12434.666666666666,1,0,0
1,1,1,0,0,185.0,1.0,6864,0.5138888888888888,6350.111111111111,0,1,0
1,1,2,1,0,100.0,1.0,6412,0.2777777777777778,6134.222222222223,0,1,0
1,1,1,0,0,123.0,0.0,6942,0.3416666666666667,6600.333333333333,0,1,0
0,1,3,0,0,110.0,1.0,6260,0.3055555555555556,5954.444444444444,0,1,0
1,1,1,0,0,256.0,1.0,7533,0.7111111111111111,6821.888888888889,0,0,1
1,1,0,0,0,140.0,1.0,6750,0.3888888888888889,6361.111111111111,0,1,0
1,1,3,0,0,61.0,1.0,9719,0.16944444444444445,9549.555555555555,0,0,1
1,1,3,0,0,188.0,1.0,6835,0.5222222222222223,6312.777777777777,0,1,0
1,0,0,0,0,131.0,1.0,4452,0.3638888888888889,4088.1111111111113,1,0,0
0,1,0,0,0,125.0,0.0,2262,0.2604166666666667,2001.5833333333333,0,1,0
1,1,1,0,0,116.0,1.0,3901,0.32222222222222224,3578.777777777778,0,0,1
1,1,2,1,0,50.0,1.0,2687,0.2777777777777778,2409.222222222222,1,0,0
1,0,0,0,0,107.0,1.0,4476,0.2972222222222222,4178.777777777777,0,1,0
0,1,0,0,0,200.0,1.0,4704,0.5555555555555556,4148.444444444444,0,1,0
1,0,0,0,0,119.0,0.0,3356,0.33055555555555555,3025.4444444444443,0,0,1
1,1,3,0,0,120.0,1.0,4513,0.3333333333333333,4179.666666666667,1,0,0
1,1,0,0,0,140.0,1.0,4500,0.3888888888888889,4111.111111111111,0,1,0
1,1,0,1,0,165.0,1.0,5873,0.4583333333333333,5414.666666666667,0,0,1
0,0,0,0,1,108.0,1.0,4742,0.3,4442.0,0,1,0
1,1,0,0,0,93.0,1.0,4082,0.25833333333333336,3823.6666666666665,0,1,0
0,0,0,0,0,102.0,1.0,3417,0.2833333333333333,3133.6666666666665,0,0,1
0,1,2,0,0,122.0,1.0,6318,0.3388888888888889,5979.111111111111,0,1,0
1,1,0,0,0,160.0,1.0,8921,0.4444444444444444,8476.555555555555,1,0,0
1,0,3,0,0,157.0,1.0,8366,0.4361111111111111,7929.888888888889,0,1,0
0,0,0,1,0,180.0,1.0,1760,0.5,1260.0,0,1,0
1,1,1,0,0,80.0,0.0,4416,0.2222222222222222,4193.777777777777,1,0,0
0,0,0,0,0,104.0,0.0,4428,0.28888888888888886,4139.111111111111,0,0,1
1,1,2,0,0,213.0,0.0,4234,0.5916666666666667,3642.3333333333335,1,0,0
1,0,0,0,0,65.0,1.0,3125,0.18055555555555555,2944.4444444444443,0,0,1
1,1,0,0,0,146.0,1.0,6136,0.40555555555555556,5730.444444444444,1,0,0
1,1,3,0,0,135.0,1.0,4910,0.375,4535.0,0,0,1
1,0,0,0,0,187.0,0.0,8914,0.5194444444444445,8394.555555555555,1,0,0
0,0,0,0,0,300.0,0.0,12500,0.8333333333333334,11666.666666666666,0,0,1
1,0,0,0,0,120.0,1.0,4667,0.3333333333333333,4333.666666666667,0,1,0
1,0,0,0,0,71.0,0.0,6500,0.19722222222222222,6302.777777777777,0,0,1
1,1,2,0,0,225.0,1.0,7500,0.625,6875.0,0,0,1
1,0,0,0,0,70.0,1.0,3073,0.3888888888888889,2684.1111111111113,0,0,1
1,1,1,1,0,70.0,1.0,5409,0.19444444444444445,5214.555555555556,0,1,0
1,1,0,0,0,124.0,1.0,4603,0.34444444444444444,4258.555555555556,0,0,1
1,0,0,0,0,132.0,1.0,3391,0.36666666666666664,3024.3333333333335,1,0,0
1,1,1,0,1,105.0,1.0,4860,0.2916666666666667,4568.333333333333,1,0,0
0,0,1,0,0,90.0,1.0,3620,0.25,3370.0,0,0,1
1,0,0,0,0,83.0,1.0,4000,0.9880952380952381,3011.904761904762,0,0,1
1,1,0,0,0,125.0,1.0,4258,0.3472222222222222,3910.777777777778,0,0,1
1,1,2,0,0,147.0,1.0,4500,0.4083333333333333,4091.6666666666665,1,0,0
1,1,1,0,0,120.0,1.0,4939,0.3333333333333333,4605.666666666667,1,0,0
1,0,0,0,0,110.0,1.0,4583,0.3055555555555556,4277.444444444444,0,1,0
0,0,3,0,0,103.0,1.0,4083,0.2861111111111111,3796.8888888888887,0,1,0
1,0,0,0,0,150.0,0.0,4727,0.4166666666666667,4310.333333333333,1,0,0
1,1,3,0,0,100.0,1.0,6088,0.4166666666666667,5671.333333333333,1,0,0
1,1,3,1,0,139.0,0.0,7322,0.3861111111111111,6935.888888888889,0,0,1
1,1,0,0,1,550.0,1.0,32000,1.5277777777777777,30472.222222222223,0,1,0
1,1,2,0,1,260.0,1.0,10890,21.666666666666668,-10776.666666666668,1,0,0
0,0,0,0,0,150.0,1.0,12941,0.5,12441.0,0,0,1
1,0,0,1,0,90.0,1.0,3276,0.25,3026.0,0,1,0
1,0,0,1,1,199.0,0.0,8703,0.5527777777777778,8150.222222222223,1,0,0
1,1,1,0,0,139.0,1.0,5459,0.3861111111111111,5072.888888888889,0,1,0
1,0,0,0,0,150.0,1.0,5900,0.4166666666666667,5483.333333333333,0,0,1
1,0,0,0,0,180.0,1.0,7380,0.5,6880.0,0,0,1
1,1,0,0,0,113.0,1.0,4239,0.3138888888888889,3925.1111111111113,0,0,1
1,0,0,0,0,148.0,1.0,5000,0.4111111111111111,4588.888888888889,1,0,0
1,1,1,1,0,117.0,0.0,4823,0.325,4498.0,0,0,1
1,1,2,0,0,72.0,1.0,4855,0.2,4655.0,1,0,0
1,0,0,1,1,125.0,1.0,4073,0.4166666666666667,3656.3333333333335,0,1,0
1,1,2,0,1,214.0,1.0,8492,0.5944444444444444,7897.555555555556,0,0,1
1,1,0,0,0,133.0,1.0,6624,0.38,6244.0,1,0,0
1,0,1,0,0,187.0,1.0,8352,0.5194444444444445,7832.555555555556,0,1,0
1,1,0,1,0,143.0,1.0,7895,0.3972222222222222,7497.777777777777,1,0,0
1,0,0,0,0,209.0,1.0,8406,0.5805555555555556,7825.444444444444,1,0,0
1,0,0,0,0,84.0,0.0,2964,0.23333333333333334,2730.6666666666665,0,1,0
1,0,0,0,0,116.0,1.0,5583,0.32222222222222224,5260.777777777777,0,0,1
0,0,0,0,0,65.0,1.0,2708,0.18055555555555555,2527.4444444444443,1,0,0
1,0,1,0,0,80.0,1.0,5550,0.3333333333333333,5216.666666666667,1,0,0
1,0,0,1,0,170.0,0.0,2268,0.4722222222222222,1795.7777777777778,0,1,0
1,0,2,1,0,120.0,0.0,3158,0.3333333333333333,2824.6666666666665,0,0,1
1,1,0,0,0,135.0,1.0,6209,0.375,5834.0,0,0,1
0,1,3,0,0,94.0,0.0,4685,0.2611111111111111,4423.888888888889,0,1,0
0,1,1,0,0,79.0,1.0,3564,0.21944444444444444,3344.5555555555557,1,0,0
0,0,0,0,0,110.0,1.0,3958,0.3055555555555556,3652.4444444444443,1,0,0
1,1,2,1,0,130.0,1.0,4483,0.3611111111111111,4121.888888888889,1,0,0
1,1,0,0,0,143.0,1.0,5225,0.3972222222222222,4827.777777777777,1,0,0
1,0,0,0,0,159.0,0.0,5862,0.8833333333333333,4978.666666666667,0,0,1
1,1,0,1,0,110.0,0.0,4251,0.3055555555555556,3945.4444444444443,1,0,0
1,1,2,0,0,160.0,1.0,9526,0.4444444444444444,9081.555555555555,1,0,0
1,1,2,1,0,131.0,1.0,5833,0.3638888888888889,5469.111111111111,0,0,1
0,0,0,0,0,65.0,1.0,2918,0.18055555555555555,2737.4444444444443,1,0,0
1,1,2,0,0,143.0,1.0,5128,0.3972222222222222,4730.777777777777,1,0,0
1,1,3,0,0,187.0,1.0,15312,0.5194444444444445,14792.555555555555,0,0,1
1,1,2,0,0,160.0,1.0,6590,0.4444444444444444,6145.555555555556,0,1,0
1,1,0,0,0,165.0,1.0,7279,0.4583333333333333,6820.666666666667,0,1,0
1,1,2,0,0,110.0,1.0,4358,0.3055555555555556,4052.4444444444443,0,0,1
0,1,1,0,0,173.0,1.0,7917,0.48055555555555557,7436.444444444444,1,0,0
1,1,3,0,0,150.0,1.0,10916,0.4166666666666667,10499.333333333334,0,0,1
1,1,0,1,0,135.0,1.0,4483,0.375,4108.0,0,1,0
1,1,2,1,0,150.0,1.0,5705,0.4166666666666667,5288.333333333333,0,1,0
1,1,2,0,0,235.0,1.0,9167,0.6527777777777778,8514.222222222223,0,1,0
1,1,0,1,0,125.0,1.0,13083,0.3472222222222222,12735.777777777777,1,0,0
1,1,2,0,0,336.0,1.0,11841,0.9333333333333333,10907.666666666666,1,0,0
0,1,1,0,0,132.0,1.0,4333,1.5714285714285714,2761.5714285714284,1,0,0
1,0,0,0,0,96.0,1.0,4083,0.26666666666666666,3816.3333333333335,0,0,1
1,1,2,1,0,180.0,0.0,6697,0.5,6197.0,1,0,0
1,1,3,1,0,128.0,0.0,4652,0.35555555555555557,4296.444444444444,1,0,0
1,1,1,0,0,412.0,1.0,12690,1.1444444444444444,11545.555555555555,0,1,0
1,0,0,0,1,116.0,1.0,5833,0.32222222222222224,5510.777777777777,0,0,1
1,1,1,0,0,114.0,0.0,4796,0.31666666666666665,4479.333333333333,0,1,0
1,1,0,1,0,115.0,1.0,3600,0.3194444444444444,3280.5555555555557,1,0,0
1,1,2,0,0,104.0,0.0,3240,0.28888888888888886,2951.1111111111113,0,0,1
1,1,0,0,1,88.0,1.0,3342,0.24444444444444444,3097.5555555555557,1,0,0
1,1,0,0,1,108.0,1.0,8706,0.225,8481.0,1,0,0
1,1,3,1,0,90.0,1.0,3397,0.25,3147.0,0,0,1
1,1,0,0,0,100.0,1.0,4316,0.2777777777777778,4038.222222222222,0,0,1
0,1,0,0,0,108.0,1.0,5533,0.3,5233.0,0,1,0
0,0,0,0,0,78.0,1.0,3089,0.21666666666666667,2872.3333333333335,0,1,0
1,1,0,0,0,123.0,1.0,5030,0.3416666666666667,4688.333333333333,0,1,0
1,1,1,0,0,187.0,1.0,7560,0.5194444444444445,7040.555555555556,0,1,0
1,1,1,0,0,146.0,1.0,4157,0.40555555555555556,3751.4444444444443,0,1,0
0,0,0,0,0,80.0,1.0,4213,0.2222222222222222,3990.777777777778,0,0,1
1,0,1,1,0,100.0,1.0,6065,0.2777777777777778,5787.222222222223,1,0,0
0,0,0,0,0,55.0,1.0,2362,0.1527777777777778,2209.222222222222,0,0,1
1,0,0,0,0,200.0,0.0,7733,0.5555555555555556,7177.444444444444,1,0,0
1,1,3,0,1,150.0,1.0,5384,0.4166666666666667,4967.333333333333,0,1,0
1,0,0,0,0,150.0,1.0,5708,0.4166666666666667,5291.333333333333,1,0,0
1,1,0,1,0,118.0,1.0,7473,0.3277777777777778,7145.222222222223,1,0,0
1,1,0,1,0,150.0,1.0,5044,0.5,4544.0,0,0,1
1,1,0,1,0,118.0,1.0,5205,3.2777777777777777,1927.2222222222222,0,1,0
1,1,0,0,0,212.0,1.0,10013,0.5888888888888889,9424.111111111111,1,0,0
1,1,1,0,1,212.0,1.0,6655,0.5888888888888889,6066.111111111111,1,0,0
1,1,1,0,0,125.0,1.0,5886,0.3472222222222222,5538.777777777777,0,0,1
1,1,0,0,0,108.0,1.0,4332,0.3,4032.0,0,0,1
1,1,0,1,0,149.0,1.0,5668,0.41388888888888886,5254.111111111111,1,0,0
1,1,2,1,0,80.0,1.0,2896,0.16666666666666666,2729.3333333333335,0,0,1
0,0,1,0,0,152.0,1.0,5062,0.5066666666666667,4555.333333333333,1,0,0
0,0,2,0,1,187.0,0.0,5184,0.5194444444444445,4664.555555555556,0,1,0
0,0,0,0,0,74.0,1.0,2545,0.20555555555555555,2339.4444444444443,0,0,1
1,1,0,0,0,102.0,1.0,4321,0.2833333333333333,4037.6666666666665,0,0,1
1,1,1,0,0,100.0,1.0,7245,0.2777777777777778,6967.222222222223,1,0,0
1,0,0,0,0,130.0,1.0,5167,0.3611111111111111,4805.888888888889,1,0,0
1,1,3,1,0,125.0,0.0,5180,0.3472222222222222,4832.777777777777,0,0,1
1,0,0,0,0,130.0,1.0,29418,0.3611111111111111,29056.88888888889,0,1,0
1,0,0,0,1,138.0,1.0,5848,0.38333333333333336,5464.666666666667,0,0,1
1,1,0,0,0,28.0,1.0,2767,0.15555555555555556,2611.4444444444443,1,0,0
0,0,1,0,0,92.0,1.0,7600,0.25555555555555554,7344.444444444444,0,1,0
0,1,0,0,0,104.0,1.0,3945,0.28888888888888886,3656.1111111111113,0,0,1
1,0,0,0,0,176.0,0.0,5005,0.4888888888888889,4516.111111111111,0,0,1
0,0,0,0,0,117.0,0.0,7485,0.325,7160.0,0,1,0
1,1,2,1,0,102.0,1.0,20149,0.2833333333333333,19865.666666666668,1,0,0
1,1,2,1,0,107.0,1.0,3623,0.2972222222222222,3325.777777777778,0,1,0
1,0,0,0,0,66.0,1.0,4333,0.1375,4195.5,0,0,1
1,0,0,1,0,105.0,1.0,3844,0.2916666666666667,3552.3333333333335,0,0,1
1,1,0,0,0,105.0,0.0,5404,0.2916666666666667,5112.333333333333,0,1,0
1,1,0,0,0,105.0,1.0,4338,0.2916666666666667,4046.3333333333335,0,1,0
1,1,0,0,0,125.0,0.0,4243,0.3472222222222222,3895.777777777778,1,0,0
0,0,0,1,0,64.0,1.0,2107,0.17777777777777778,1929.2222222222222,0,1,0
1,1,0,0,0,150.0,0.0,6331,0.8333333333333334,5497.666666666667,0,1,0
1,1,2,0,1,150.0,1.0,7166,0.4166666666666667,6749.333333333333,0,0,1
1,1,0,0,0,125.0,1.0,10000,0.3472222222222222,9652.777777777777,0,0,1
1,1,0,1,1,64.0,1.0,3943,0.17777777777777778,3765.222222222222,0,1,0
1,0,0,0,0,40.0,1.0,2925,0.2222222222222222,2702.777777777778,1,0,0
1,1,3,0,0,142.0,0.0,3679,0.29583333333333334,3383.1666666666665,0,0,1
1,1,0,0,0,70.0,1.0,3863,0.23333333333333334,3629.6666666666665,0,1,0
0,0,1,0,0,131.0,1.0,4028,0.3638888888888889,3664.1111111111113,0,1,0
1,1,2,0,0,120.0,1.0,5035,0.3333333333333333,4701.666666666667,0,0,1
0,1,1,0,0,114.0,1.0,5304,0.31666666666666665,4987.333333333333,0,0,1
1,0,0,0,0,123.0,0.0,2858,0.3416666666666667,2516.3333333333335,1,0,0
0,1,0,0,0,92.0,1.0,3833,0.25555555555555554,3577.4444444444443,1,0,0
1,1,0,0,0,160.0,1.0,7621,0.4444444444444444,7176.555555555556,0,0,1
1,1,0,0,0,151.0,1.0,6732,0.41944444444444445,6312.555555555556,1,0,0
0,0,1,0,0,81.0,1.0,6433,0.225,6208.0,1,0,0
1,1,3,1,0,171.0,1.0,5411,0.475,4936.0,0,1,0
1,1,0,0,0,110.0,1.0,4532,0.3055555555555556,4226.444444444444,0,1,0
1,0,0,0,0,100.0,1.0,4155,0.2777777777777778,3877.222222222222,1,0,0
1,1,1,0,0,234.0,1.0,18840,0.65,18190.0,1,0,0
1,1,2,0,0,184.0,1.0,4115,0.5111111111111111,3603.8888888888887,1,0,0
1,0,0,0,0,138.0,1.0,6887,0.38333333333333336,6503.666666666667,0,1,0
0,1,1,1,0,112.0,0.0,5235,0.23333333333333334,5001.666666666667,0,0,1
0,0,1,1,0,117.0,1.0,7429,0.325,7104.0,1,0,0
1,1,2,0,0,49.0,0.0,6583,0.1361111111111111,6446.888888888889,1,0,0
1,0,0,0,0,99.0,1.0,3508,0.275,3233.0,1,0,0
0,1,3,1,0,99.0,1.0,4079,0.275,3804.0,0,0,1
0,0,0,0,1,212.0,1.0,7249,0.5888888888888889,6660.111111111111,1,0,0
1,0,1,0,0,240.0,1.0,24797,0.6666666666666666,24130.333333333332,0,1,0
1,1,2,0,0,130.0,0.0,6107,0.3611111111111111,5745.888888888889,0,1,0
0,0,0,0,0,94.0,0.0,3500,0.2611111111111111,3238.8888888888887,0,1,0
1,1,3,0,0,108.0,1.0,4270,0.3,3970.0,0,1,0
1,1,0,0,0,144.0,1.0,6500,0.4,6100.0,0,0,1
0,0,0,0,0,110.0,1.0,5769,0.6111111111111112,5157.888888888889,0,1,0
1,1,3,1,0,176.0,0.0,4544,0.4888888888888889,4055.1111111111113,0,1,0
1,0,0,0,0,185.0,1.0,29167,0.5138888888888888,28653.11111111111,0,1,0
1,0,0,0,0,122.0,1.0,4223,0.3388888888888889,3884.1111111111113,0,1,0
1,1,0,0,0,126.0,1.0,5000,0.35,4650.0,1,0,0
0,0,0,0,0,135.0,1.0,5530,0.375,5155.0,0,0,1
1,0,0,1,0,122.0,1.0,9000,0.3388888888888889,8661.111111111111,1,0,0
0,1,2,0,0,460.0,1.0,21666,1.2777777777777777,20388.222222222223,0,0,1
1,1,1,0,0,297.0,1.0,8750,0.825,7925.0,0,0,1
1,1,0,1,0,140.0,1.0,4887,0.3888888888888889,4498.111111111111,1,0,0
1,0,0,0,0,106.0,1.0,6319,0.29444444444444445,6024.555555555556,1,0,0
1,0,0,0,0,141.0,1.0,4983,0.39166666666666666,4591.333333333333,0,0,1
1,1,1,0,0,125.0,1.0,12333,0.3472222222222222,11985.777777777777,0,0,1
1,1,0,0,0,170.0,1.0,5667,0.4722222222222222,5194.777777777777,0,1,0
1,1,2,0,0,145.0,1.0,5999,0.4027777777777778,5596.222222222223,0,0,1
1,0,0,1,0,90.0,1.0,3271,0.25,3021.0,1,0,0
0,1,0,0,0,88.0,0.0,4241,0.24444444444444444,3996.5555555555557,0,0,1
1,1,1,1,0,128.0,1.0,4357,0.35555555555555557,4001.4444444444443,0,0,1
0,1,0,0,0,84.0,1.0,2666,0.175,2491.0,0,1,0
1,0,0,0,0,108.0,1.0,6478,0.3,6178.0,0,1,0
1,0,0,1,0,83.0,1.0,3808,0.23055555555555557,3577.4444444444443,1,0,0
0,1,2,1,0,117.0,1.0,3729,0.325,3404.0,0,1,0
1,1,2,0,0,128.0,1.0,4120,0.35555555555555557,3764.4444444444443,1,0,0
1,1,1,0,1,75.0,1.0,7500,0.20833333333333334,7291.666666666667,0,0,1
1,1,1,0,0,125.0,0.0,6300,0.3472222222222222,5952.777777777777,0,0,1
0,0,0,0,1,177.0,1.0,14987,0.49166666666666664,14495.333333333334,1,0,0
1,1,1,1,1,68.0,1.0,2695,0.18888888888888888,2506.1111111111113,1,0,0
1,1,0,0,0,96.0,1.0,3300,0.26666666666666666,3033.3333333333335,0,1,0
1,0,2,1,0,180.0,1.0,3816,0.5,3316.0,0,1,0
1,1,2,0,1,183.0,1.0,7500,0.5083333333333333,6991.666666666667,1,0,0
1,1,2,1,0,121.0,1.0,3859,0.33611111111111114,3522.8888888888887,1,0,0
1,1,1,0,0,162.0,1.0,6825,0.45,6375.0,1,0,0
1,1,0,0,0,132.0,1.0,8408,0.36666666666666664,8041.333333333333,0,1,0
1,0,0,0,0,147.0,1.0,5314,0.4083333333333333,4905.666666666667,0,0,1
0,0,3,0,0,153.0,0.0,7638,0.425,7213.0,1,0,0
1,0,0,0,0,104.0,1.0,4174,1.2380952380952381,2935.904761904762,0,0,1
1,1,2,0,0,149.0,1.0,5000,0.41388888888888886,4586.111111111111,1,0,0
0,0,0,0,0,134.0,1.0,3767,0.44666666666666666,3320.3333333333335,0,0,1
0,1,0,0,0,165.0,1.0,8738,0.9166666666666666,7821.333333333333,0,1,0
0,1,0,0,0,120.0,1.0,4283,0.3333333333333333,3949.6666666666665,1,0,0
1,1,0,1,0,67.0,0.0,4600,0.18611111111111112,4413.888888888889,0,0,1
1,0,0,1,0,125.0,1.0,4768,0.3472222222222222,4420.777777777777,1,0,0
1,0,0,0,0,120.0,1.0,5821,0.3333333333333333,5487.666666666667,0,0,1
1,1,1,0,0,148.0,1.0,4209,0.4111111111111111,3797.8888888888887,1,0,0
0,1,0,1,0,181.0,1.0,3409,0.5027777777777778,2906.222222222222,0,0,1
1,1,3,0,0,80.0,1.0,3400,0.6666666666666666,2733.3333333333335,0,0,1
